,1,114559 (117),683461210.0,"6834 - Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",,Mechanical Engineering,JEE,MH to AI,GNT1H
1,2,114575 (111),678637210.0,"6786 - Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon,
Pune",,"Electronics and Telecommunication
Engg",JEE,MH to AI,LOBCH
2,3,114587 (101),683419110.0,"6834 - Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",,Civil Engineering,JEE,MH to AI,GNT3H
3,4,114606 (92),632361210.0,"6323 - D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",,Mechanical Engineering,JEE,MH to AI,GOBCH
4,5,114622 (85),632337210.0,"6323 - D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",,"Electronics and Telecommunication
Engg",JEE,MH to AI,LNT1H
5,6,114630 (81),678119110.0,"6781 - Bhagwant Institute of Technology, Barshi",,Civil Engineering,JEE,MH to AI,GNT2H
6,7,114665 (75),225024210.0,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",,Computer Science and Engineering,JEE,MH to AI,GSCH
7,8,114668 (75),257329310.0,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",,Electrical Engineering,JEE,MH to AI,GNT1H
8,9,114679 (71),533137210.0,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",,"Electronics and Telecommunication
Engg",JEE,MH to AI,LSCO
9,10,114714 (64),322229310.0,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar",,Electrical Engineering,JEE,MH to AI,LOPENH
10,11,114757 (59),415124610.0,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",,Information Technology,JEE,MH to AI,GNT3H
11,12,114758 (59),415124610.0,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",,Information Technology,JEE,MH to AI,GOBCH
12,13,114765 (57),618537210.0,"6185 - Sinhagad Institute of Technology, Lonavala",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GOBCH
13,14,114776 (56),430219110.0,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",,Civil Engineering,JEE,MH to AI,PHCH
14,15,114784 (55),413937210.0,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",,"Electronics and Telecommunication
Engg",JEE,MH to AI,DEFO
15,16,114815 (54),678637210.0,"6786 - Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon,
Pune",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GNT1H
16,17,114822 (53),632424510.0,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",,Computer Engineering,JEE,MH to AI,GNT1H
17,18,114838 (51),541161210.0,"5411 - Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",,Mechanical Engineering,JEE,MH to AI,GOPENO
