,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
0,1,107149 (125),680837210,"6808 - Keystone School of Engineering, Pune","Electronics and Telecommunication
Engg"
1,2,107150 (122),211224210,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology,
Aurangabad",Computer Science and Engineering
2,3,107163 (116),632261210,"6322 - Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar
College of Engineering, Dumbarwadi",Mechanical Engineering
3,4,107175 (110),319124510,"3191 - Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Computer Engineering
4,5,107176 (110),252219110,"2522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Civil Engineering
5,6,107208 (102),213819110,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Civil Engineering
6,7,107215 (99),620361210,"6203 - Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Mechanical Engineering
7,8,107232 (96),679419110,"6794 - Anantrao Pawar College of Engineering & Research, Pune",Civil Engineering
8,9,107238 (95),632137210,"6321 - Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur","Electronics and Telecommunication
Engg"
9,10,107269 (91),112724510,"1127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of
Engineering and Technology, Yavatmal",Computer Engineering
10,11,107316 (85),664419110,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Civil Engineering
11,12,107356 (83),417719110,"4177 - Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred
Road,Nagpur",Civil Engineering
12,13,107366 (82),346019110,"3460 - Universal College of Engineering,Kaman Dist. Thane",Civil Engineering
13,14,107375 (82),632524510,"6325 - Alard Charitable Trust's Alard College of Engineering and Management, Pune",Computer Engineering
14,15,107420 (79),662224510,"6622 - I.S.B.& M. School of Technology, Nande Village",Computer Engineering
15,16,107428 (79),660961210,"6609 - Jaihind College Of Engineering,Kuran",Mechanical Engineering
16,17,107436 (79),413424610,"4134 - Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Information Technology
17,18,107446 (78),213437610,"2134 - Peoples Education Society's College of Engineering, Aurangabad",Electronics Engineering
18,19,107451 (78),512419110,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Civil Engineering
19,20,107454 (78),621946110,"6219 - KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Bio Medical Engineering
20,21,107513 (76),679461210,"6794 - Anantrao Pawar College of Engineering & Research, Pune",Mechanical Engineering
21,22,107535 (75),317537220,"3175 - M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai","Electronics and Telecommunication
Engg"
22,23,107540 (75),660937210,"6609 - Jaihind College Of Engineering,Kuran","Electronics and Telecommunication
Engg"
23,24,107543 (75),412337210,"4123 - Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of
Engineering, Nagpur","Electronics and Telecommunication
Engg"
24,25,107546 (75),628861210,"6288 - Bharati Vidyapeeth's College of Engineering, Kolhapur",Mechanical Engineering
25,26,107556 (75),253329310,"2533 - CSMSS Chh. Shahu College of Engineering, Aurangabad",Electrical Engineering
26,27,107558 (74),416335610,4163 - Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Electrical Engg[Electronics and Power]
27,28,107568 (74),626924610,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Information Technology
28,29,107571 (74),625019110,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",Civil Engineering
29,30,107586 (74),625061210,"6250 - D.Y. Patil College of Engineering and Technology, Kolhapur",Mechanical Engineering
30,31,107590 (73),512437210,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon","Electronics and Telecommunication
Engg"
31,32,107598 (73),510524610,"5105 - G.H. Raisoni Institute of Engineering and Management, Jalgaon",Information Technology
32,33,107603 (73),676861210,"6768 - P.K. Technical Campus, Pune.",Mechanical Engineering
33,34,107642 (72),213724210,"2137 - Nagnathappa Halge Engineering College, Parli, Beed",Computer Science and Engineering
34,35,107649 (72),677061210,"6770 - SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Mechanical Engineering
35,36,107684 (71),675929310,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune",Electrical Engineering
36,37,107695 (71),621719110,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",Civil Engineering
37,38,107713 (71),322119110,"3221 - Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology,
Shirgaon",Civil Engineering
38,39,107719 (71),620637610,"6206 - Pune District Education Association's College of Engineering, Pune",Electronics Engineering
39,40,107765 (70),628837210,"6288 - Bharati Vidyapeeth's College of Engineering, Kolhapur","Electronics and Telecommunication
Engg"
40,41,107772 (70),510624510,"5106 - K. C. E. Societys College of Engineering and Information Technology, Jalgaon",Computer Engineering
41,42,107808 (70),314719110,"3147 - Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering &
Technology, Karjat",Civil Engineering
42,43,107813 (70),346561210,"3465 - Ideal Institute of Technology, Wada, Dist.Thane",Mechanical Engineering
43,44,107818 (70),631324510,"6313 - Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Computer Engineering
44,45,107836 (69),112024210,"1120 - Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Computer Science and Engineering
